timestamp,category,bug_type,exception,message,file,line,status,exit_code,timed_out,elapsed_sec,command,reason,input_hash,input_text,input_b64,crash_json,crash_bin
1774374243,parse_or_functional_bug_u1_10a043ac8e0fb5b54de0234f7bb29c61,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse\ipv4_stv.py,134,hang,-1,True,2.178862,./win-ipv4-parser.exe --ipstr 3.0.0.1,bug:functional,10a043ac8e0fb5b54de0234f7bb29c61,3.0.0.1,My4wLjAuMQ==,crashes/parse_or_functional_bug_u1_10a043ac8e0fb5b54de0234f7bb29c61.json,crashes/parse_or_functional_bug_u1_10a043ac8e0fb5b54de0234f7bb29c61.bin
1775572536,parse_or_functional_bug_u1_8bcfa02af88c4e52f59595068e331db6,invalidity,InvalidityBug,Malformed IPv4 structure,buggy_ipyparse\ipv4_stv.py,80,success,0,False,4.775760,./win-ipv4-parser.exe --ipstr 193.]254.0.1,bug:invalidity,8bcfa02af88c4e52f59595068e331db6,193.]254.0.1,MTkzLl0yNTQuMC4x,crashes/parse_or_functional_bug_u1_8bcfa02af88c4e52f59595068e331db6.json,crashes/parse_or_functional_bug_u1_8bcfa02af88c4e52f59595068e331db6.bin
1775565239,parse_or_functional_bug_u1_a45b9b25e0a29f3477a39e0462c3475d,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse\ipv4_stv.py,134,hang,-1,True,2.118271,./win-ipv4-parser.exe --ipstr 1.0.0.1,bug:functional,a45b9b25e0a29f3477a39e0462c3475d,1.0.0.1,MS4wLjAuMQ==,crashes/parse_or_functional_bug_u1_a45b9b25e0a29f3477a39e0462c3475d.json,crashes/parse_or_functional_bug_u1_a45b9b25e0a29f3477a39e0462c3475d.bin
1775570253,parse_or_functional_bug_u1_fdd1ba30d38c946f50c15452c8624345,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse\ipv4_stv.py,134,success,0,False,2.763680,./win-ipv4-parser.exe --ipstr 5.0.0.0,bug:functional,fdd1ba30d38c946f50c15452c8624345,5.0.0.0,NS4wLjAuMA==,crashes/parse_or_functional_bug_u1_fdd1ba30d38c946f50c15452c8624345.json,crashes/parse_or_functional_bug_u1_fdd1ba30d38c946f50c15452c8624345.bin
1775572541,parse_or_functional_bug_u2_05fdbc1a9e8b914c5b10430313272cad,invalidity,ParseException,IPv4 tokenization failure,pyparsing\core.py,1340,hang,-1,True,5.013487,./win-ipv4-parser.exe --ipstr 5.29.37.11110,bug:invalidity,05fdbc1a9e8b914c5b10430313272cad,5.29.37.11110,NS4yOS4zNy4xMTExMA==,crashes/parse_or_functional_bug_u2_05fdbc1a9e8b914c5b10430313272cad.json,crashes/parse_or_functional_bug_u2_05fdbc1a9e8b914c5b10430313272cad.bin
1775570261,parse_or_functional_bug_u2_ce7eec1c1c1fed6e6af0dbd391823b74,validity,ParseException,"Expected '.', found '5'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340,hang,-1,True,5.012043,./win-ipv4-parser.exe --ipstr 0255.255.255.255.0.0.0,bug:validity,ce7eec1c1c1fed6e6af0dbd391823b74,0255.255.255.255.0.0.0,MDI1NS4yNTUuMjU1LjI1NS4wLjAuMA==,crashes/parse_or_functional_bug_u2_ce7eec1c1c1fed6e6af0dbd391823b74.json,crashes/parse_or_functional_bug_u2_ce7eec1c1c1fed6e6af0dbd391823b74.bin
1775572554,parse_or_functional_bug_u3_7c3cb5898956110e04d6e051f4c253aa,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse\ipv4_stv.py,134,success,0,False,4.756454,./win-ipv4-parser.exe --ipstr 0.0.0.0148.135.193.138,bug:functional,7c3cb5898956110e04d6e051f4c253aa,0.0.0.0148.135.193.138,MC4wLjAuMDE0OC4xMzUuMTkzLjEzOA==,crashes/parse_or_functional_bug_u3_7c3cb5898956110e04d6e051f4c253aa.json,crashes/parse_or_functional_bug_u3_7c3cb5898956110e04d6e051f4c253aa.bin
1775570318,parse_or_functional_bug_u3_d642c211cccd7ed679b604325513bdc2,validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,success,0,False,4.099417,./win-ipv4-parser.exe --ipstr 255.455.255.255,bug:validity,d642c211cccd7ed679b604325513bdc2,255.455.255.255,MjU1LjQ1NS4yNTUuMjU1,crashes/parse_or_functional_bug_u3_d642c211cccd7ed679b604325513bdc2.json,crashes/parse_or_functional_bug_u3_d642c211cccd7ed679b604325513bdc2.bin
1775572561,parse_or_functional_bug_u4_7481775d889e9d027dd7c58823506071,validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,success,0,False,2.412951,"./win-ipv4-parser.exe --ipstr 255.64
.128.64",bug:validity,7481775d889e9d027dd7c58823506071,255.64\n.128.64,MjU1LjY0Ci4xMjguNjQ=,crashes/parse_or_functional_bug_u4_7481775d889e9d027dd7c58823506071.json,crashes/parse_or_functional_bug_u4_7481775d889e9d027dd7c58823506071.bin
1775572895,parse_or_functional_bug_u1_f1f17934834ae2613699701054ef9684,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse\ipv4_stv.py,134,success,0,False,3.070018,./win-ipv4-parser.exe --ipstr 0.0.0.0,bug:functional,f1f17934834ae2613699701054ef9684,0.0.0.0,MC4wLjAuMA==,crashes/parse_or_functional_bug_u1_f1f17934834ae2613699701054ef9684.json,crashes/parse_or_functional_bug_u1_f1f17934834ae2613699701054ef9684.bin
1775573162,parse_or_functional_bug_u2_eea88cd0d9a7ba26282fc786713bbbb6,validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,hang,-1,True,5.009195,./win-ipv4-parser.exe --ipstr 255.255.255.255,bug:validity,eea88cd0d9a7ba26282fc786713bbbb6,255.255.255.255,MjU1LjI1NS4yNTUuMjU1,crashes/parse_or_functional_bug_u2_eea88cd0d9a7ba26282fc786713bbbb6.json,crashes/parse_or_functional_bug_u2_eea88cd0d9a7ba26282fc786713bbbb6.bin
1775573174,other_output_u3_70f7ba0785530ac0d231af1c78c131a2,other,buggy_ipyparse.ipv4_stv.PerformanceBug,Performance bug has been hit!,buggy_ipyparse\ipv4_stv.py,91,hang,-1,True,12.765121,./win-ipv4-parser.exe --ipstr 219.201.254.250,bug:bonus,70f7ba0785530ac0d231af1c78c131a2,219.201.254.250,MjE5LjIwMS4yNTQuMjUw,crashes/other_output_u3_70f7ba0785530ac0d231af1c78c131a2.json,crashes/other_output_u3_70f7ba0785530ac0d231af1c78c131a2.bin
1775573329,parse_or_functional_bug_u4_9f8588795d97908eb6f0551ce7c0cd65,validity,ParseException,"Expected '.', found '5'  (at char 6), (line:1, col:7)",pyparsing\core.py,1340,success,0,False,2.910803,./win-ipv4-parser.exe --ipstr 128.255.254.63,bug:validity,9f8588795d97908eb6f0551ce7c0cd65,128.255.254.63,MTI4LjI1NS4yNTQuNjM=,crashes/parse_or_functional_bug_u4_9f8588795d97908eb6f0551ce7c0cd65.json,crashes/parse_or_functional_bug_u4_9f8588795d97908eb6f0551ce7c0cd65.bin
1775573387,parse_or_functional_bug_u5_8bcfa02af88c4e52f59595068e331db6,invalidity,InvalidityBug,Malformed IPv4 structure,buggy_ipyparse\ipv4_stv.py,80,hang,-1,True,5.012519,./win-ipv4-parser.exe --ipstr 193.]254.0.1,bug:invalidity,8bcfa02af88c4e52f59595068e331db6,193.]254.0.1,MTkzLl0yNTQuMC4x,crashes/parse_or_functional_bug_u5_8bcfa02af88c4e52f59595068e331db6.json,crashes/parse_or_functional_bug_u5_8bcfa02af88c4e52f59595068e331db6.bin
1775573389,parse_or_functional_bug_u6_05fdbc1a9e8b914c5b10430313272cad,invalidity,ParseException,IPv4 tokenization failure,pyparsing\core.py,1340,success,0,False,2.689252,./win-ipv4-parser.exe --ipstr 5.29.37.11110,bug:invalidity,05fdbc1a9e8b914c5b10430313272cad,5.29.37.11110,NS4yOS4zNy4xMTExMA==,crashes/parse_or_functional_bug_u6_05fdbc1a9e8b914c5b10430313272cad.json,crashes/parse_or_functional_bug_u6_05fdbc1a9e8b914c5b10430313272cad.bin
